file,row_index,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
0.data,0,ドキモン,dokimon,Dokimon,Dokimon,・Static Shock,Slime,0,0,2,65535,65535,65535,65535,65535
0.data,1,ビビモン,bibimon,Bibimon,Bibimon,・Minimal Flash,Lesser,1,0,2,65535,65535,65535,65535,65535
0.data,2,パルスモン,pulsemon,Pulsemon,Pulsemon,・Electric Rush・Minor Impulse,Beast Man,2,3,1,10,3,2,2,4
0.data,3,バルクモン,bulkmon,Bulkmon,Bulkmon,・Electrical Fist・Thunder Dread,Dragon Man,3,3,0,25,5,3,15,14
0.data,4,エキサモン,exermon,Exermon,Exermon,・Insec-Mind・Defib Shock,Insectoid,3,2,3,20,4,3,6,11
0.data,5,ランナモン,runnermon,Runnermon,Runnermon,・Lightning Rush・Heartbeat Impulse,Beast,3,1,1,20,5,2,31,8
0.data,6,ナマケモン,namakemon,Namakemon,Namakemon,・Poop Toss・Paralyze Lick,Puppet,3,1,4,15,4,2,27,15
0.data,7,バウトモン,boutmon,Boutmon,Boutmon,・Lightning Heel・Buden Blast・Storm of Blows,Beast Man,4,3,0,35,12,4,18,18
0.data,8,シュートモン,shootmon,Shootmon,Shootmon,・Cannonball Shooter・Wild Pitch・Round Jail,Machine,4,3,1,30,10,3,10,2
0.data,9,ダイブモン,divemon,Divemon,Divemon,・Fillet Blade・Ripple Edge・Liquid Veil,Aquatic,4,2,2,35,10,3,8,10
0.data,10,テンポモン,tempomon,Tempomon,Tempomon,・Rhythmic Arts・Howling Blast・Upbeat Twister,Bird Man,4,2,1,30,9,4,38,12
0.data,11,クライモン,climbmon,Climbmon,Climbmon,・Giton Isolation・Piton Strike・Dynamic Scyther,Insectoid,4,1,3,35,10,3,35,4
0.data,12,ピストモン,pistmon,Pistmon,Pistmon,・Bramble Shot・Crimson Spores・Killer Cadence,Vegetation,4,1,2,25,9,4,26,21
0.data,13,カヅチモン,kazuchimon,Kazuchimon,Kazuchimon,・Nito Seirai・Shido Ittetsu・Shinden Shouraiko,Deity,5,3,2,50,14,7,12,13
0.data,14,シーヴァモン,shivamon,Shivamon,Shivamon,・Kutastha Kirana・Kamala Karma・Samadhi Santi,Insectoid,5,2,3,45,16,6,5,20
0.data,15,アキレウスモン,achillesmon,Achillesmon,Achillesmon,・Anemodarmenos・Asteroeidis・Lonkhe Adistakto,Beast Man,5,1,1,50,12,5,14,12
0.data,16,シュラウドモン,shroudmon,Shroudmon,Shroudmon,・Kinshugouken・Hellfire Kick・Thunderflame Crusher,Wizard,5,1,0,60,16,7,19,21
1.data,0,スナモン,sunamon,Sunamon,Sandmon,・Sand Toss,Slime,0,0,2,65535,65535,65535,65535,65535
1.data,1,ゴロモン,goromon,Goromon,Tumblemon,・Rock Breath,Ore,1,0,2,65535,65535,65535,65535,65535
1.data,2,スナリザモン,sunarizamon,Sunarizamon,Sunarizamon,・Grit Nail・Sand Blast,Reptile,2,1,3,10,3,2,7,4
1.data,3,トータモン,tortamon,Tortamon,Tortomon,・Shell Phalanx,Reptile,3,3,2,25,5,3,88,88
1.data,4,トゲモン,togemon,Togemon,Togemon,・Needle Spray,Vegetation,3,2,1,20,4,3,102,102
1.data,5,ゴーレモン,golemon,Golemon,Golemon,・Crimson Curse・Golem Punch,Mineral,3,1,4,15,4,2,93,93
1.data,6,ディグモン,digmon,Digmon,Digmon,・Big Crack・Gold Rush,Insectoid,7,4,3,20,5,2,112,112
1.data,7,ゴグマモン,gogmamon,Gogmamon,Gogmamon,・Giant Grater・Curse Reflection,Ore,4,3,3,35,14,3,22,21
1.data,8,ジャガモン,jyagamon,Jyagamon,Jagamon,・Smashed Potatoes,Vegetation,4,3,1,30,10,3,21,6
1.data,9,トリケラモン,triceramon,Triceramon,Triceramon,・Tri-Horn Attack,Ceratopsian,4,2,0,35,10,3,110,110
1.data,10,スコピオモン,scorpiomon,Scorpiomon,SkullScorpiomon,・Blackout・Poison Pierce,Insectoid,4,2,2,30,9,4,14,11
1.data,11,バルチャモン,vulturemon,Vulturemon,Vulturemon,・Reaper Strike・Desert Deathscythe・Wither Wing,Bird Man,4,1,3,35,10,4,7,8
1.data,12,マミーモン,mummymon,Mummymon,Mummymon,・Snake Bandage・Necrophobia,Undead,4,1,4,30,9,4,130,130
1.data,13,ブラストモン,blastmon,Blastmon,Blastmon,・Diamond Machine Gun・Diamond Hedgehog・Prism Flash・Crystal Breath,Mineral,4,3,1,45,18,7,17,7
1.data,14,ディノレクスモン,dinorexmon,Dinorexmon,Dinorexmon,・Splatter Hunting・Ogre Flame,Dinosaur,5,2,0,55,14,8,24,0
1.data,15,ファラオモン,pharaohmon,Pharaohmon,Pharaohmon,・Necromist,Wizard,5,1,2,50,12,8,29,5
1.data,16,エンシェントスフィンクモン,ancientsphinkmon,Ancientsphinkmon,AncientSphinxmon,・Dark Blast・Necro Eclipse,Ancient Mythical Beast,5,1,3,70,12,8,11,16
2.data,0,ピチモン,pitchmon,Pitchmon,Pichimon,・Bubble Blow,Slime,0,0,2,65535,65535,65535,65535,65535
2.data,1,プカモン,pukamon,Pukamon,Bukamon,・Air Bubbles,Lesser,1,0,2,65535,65535,65535,65616,65616
2.data,2,サンゴモン,sangomon,Sangomon,Sangomon,・Refuge Mist・Coral Pressure,Mollusk,2,2,2,10,3,2,3,11
2.data,3,トビウモン,tobiumon,Tobiumon,Tobiumon,・Suckerfish Darts・Flying Finish,Aquatic,3,3,0,25,5,3,24,9
2.data,4,シードラモン,seadramon,Seadramon,Seadramon,・Ice Blast,Aquatic,3,2,1,20,4,3,117,117
2.data,5,シェルモン,shellmon,Shellmon,Shellmon,・Hydro Blaster,Mollusk,3,2,3,15,4,2,89,89
2.data,6,オクタモン,octmon,Octmon,Octomon,・Spurting Ink,Mollusk,3,1,4,20,5,2,120,120
2.data,7,グソクモン,gusokumon,Gusokumon,Gusokumon,・Brunt Claw・Colony Torpedo,Crustacean,4,3,3,35,14,3,24,9
2.data,8,マリンキメラモン,marinchimairamon,Marinchimairamon,MarineChimairamon,・Poseidon Vortex・Aqua Viper,Composite,4,3,1,30,9,5,8,10
2.data,9,マーメイモン,mermaimon,Mermaimon,Mermaimon,・Charm Plunder・Northern Cross Bomber,Aquatic Beast Man,4,2,2,35,10,3,12,4
2.data,10,メガシードラモン,megaseadramon,Megaseadramon,MegaSeadramon,・Lightning Javelin,Aquatic,4,2,1,30,9,4,92,92
2.data,11,ピラニモン,piranimon,Piranimon,Piranimon,・Cruel Invitation・Calamity Vise,Aquatic,4,1,0,35,8,5,30,5
2.data,12,ダゴモン,dagomon,Dagomon,Dragomon,・Forbidden Trident,Aquatic Beast Man,4,1,4,30,9,4,22,3
2.data,13,ネプトゥーンモン,neptunemon,Neptunemon,Neptunemon,・Vortex Penetration・Wave of Depth,Deity,5,3,0,45,16,8,14,10
2.data,14,メタルシードラモン,metalseadramon,Metalseadramon,MetalSeadramon,・River of Power,Android,5,2,1,55,18,6,85,85
2.data,15,レガレクスモン,regalecusmon,Regalecusmon,Regalecusmon,・Briona Strike・Reactor Discharge,Aquatic,5,1,2,50,14,8,12,13
2.data,16,プレシオモン,plesiomon,Plesiomon,Plesiomon,・Sorrow Blue,Plesiosaur,5,2,1,70,12,8,31,1
3.data,0,ユラモン,yuramon,Yuramon,Yuramon,・Adhesive Bubble Blow,Seed,0,0,2,65535,65535,65535,65535,65535
3.data,1,タネモン,tanemon,Tanemon,Tanemon,・Adhesive Bubble Blow,Bulb,1,0,2,65535,65535,65535,65616,65616
3.data,2,パルモン,palmon,Palmon,Palmon,・Poison Ivy,Vegetation,2,2,2,10,3,2,121,121
3.data,3,スナイモン,snimon,Snimon,Snimon,・Shadow Sickle,Insectoid,3,3,1,25,5,3,90,90
3.data,4,サンフラウモン,sunflowmon,Sunflowmon,Sunflowmon,・Sunshine Beam・Smiley Slap・Cactus Tail,Vegetation,3,2,2,20,4,3,33,2
3.data,5,パラサウモン,parasaurmon,Parasaurmon,Parasaurmon,・Stunning Sweetness・Wavy Octavist,Dinosaur,3,1,3,20,5,2,31,12
3.data,6,ベジーモン,vegimon,Vegimon,Vegiemon,・Poop Toss,Carnivorous Vegetation,3,1,4,15,4,2,121,121
3.data,7,アヤタラモン,ajatarmon,Ajatarmon,Ajatarmon,・Assault Hatchet・Entangling Ivy・Shotgun Moss,Vegetation,4,3,1,35,14,3,12,8
3.data,8,ジュエルビーモン,jewelbeemon,Jewelbeemon,JewelBeemon,・Spike Buster,Insectoid,4,3,2,30,10,4,14,4
3.data,9,リリモン,lilimon,Lilimon,Lillymon,・Flower Cannon,Pixie,4,2,2,35,8,5,85,85
3.data,10,ブロッサモン,blossomon,Blossomon,Blossomon,・Spiral Flower,Vegetation,4,2,3,30,14,4,121,121
3.data,11,トロピアモン,toropiamon,Toropiamon,Toropiamon,・Petally Carnage・Tropical Venom,Vegetation,4,1,0,30,8,5,26,12
3.data,12,アルケニモン,archnemon,Archnemon,Arukenimon,・Spider Thread・Predation Spider,Dark Beast,4,1,1,35,9,4,114,114
3.data,13,ブルムロードモン,bloomlordmon,Bloomlordmon,Bloomlordmon,・Seed Belt・Sprout Rush・Gran del Sol,Pixie,5,3,1,55,14,8,12,2
3.data,14,ラフレシモン,rafflesimon,Rafflesimon,Rafflesimon,・Ballet Gun・Wisselen,Pixie,5,2,2,45,12,7,23,11
3.data,15,スピノモン,spinomon,Spinomon,Spinomon,・Sonic Slash Rain・Blue Prominence,Dinosaur,5,1,0,50,16,7,24,1
3.data,16,ヒュドラモン,hydramon,Hydramon,Hydramon,・Biotoxin・Scatterblaster・Fault Break,Vegetation,5,1,3,55,22,6,26,21
4.data,0,リーフモン,leafmon,Leafmon,Leafmon,・Acid Bubbles,Slime,0,0,2,65535,65535,65535,65535,65535
4.data,1,ミノモン,minomon,Minomon,Minomon,・Pinecone,Larva,1,0,2,65535,65535,65535,65535,65535
4.data,2,ワームモン,wormmon,Wormmon,Wormmon,・Sticky Net・Silk Thread,Larva,2,4,3,10,3,2,87,87
4.data,3,スティングモン,stingmon,Stingmon,Stingmon,・Spiking Strike,Insectoid,3,4,2,25,5,3,112,112
4.data,4,シェイドラモン,shadramon,Shadramon,Shadramon,・Flare Buster,Insectoid,7,4,1,20,5,2,4,0
4.data,5,フーディエモン,hudiemon,Hudiemon,Hudiemon,・Flying Kick・Infinity Dream,Insectoid,3,4,3,20,4,3,33,12
4.data,6,ゴキモン,gokimon,Gokimon,Roachmon,・Dream Dust,Insectoid,3,1,4,15,4,2,120,120
4.data,7,ジュエルビーモン,jewelbeemon,Jewelbeemon,JewelBeemon,・Spike Buster,Insectoid,4,3,2,30,10,4,14,4
4.data,8,パイルドラモン,paildramon,Paildramon,Paildramon,・Sting Strike・Death Parade Blaster,Dragon Man,4,4,2,30,10,3,139,139
4.data,9,ディノビーモン,dinobeemon,Dinobeemon,Dinobeemon,・Hell Masquerade,Mutant,4,4,4,30,9,4,25,18
4.data,10,コンゴウモン,kongoumon,Kongoumon,Kongoumon,・Popper,Insectoid,7,4,0,35,12,3,18,14
4.data,11,プッチーモン,pucchiemon,Pucchiemon,Bucchiemon,・Heartner Beam,Pixie,7,4,2,35,7,5,9,12
4.data,12,プッチーモン（緑）,pucchiemon-green,Pucchiemon-Green,Bucchiemon (Green),・Heartner Beam,Pixie,7,4,2,35,8,4,9,12
4.data,13,バンチョースティングモン,banchostingmon,Banchostingmon,BanchoStingmon,・Bloody Finish・Depth Charge Sky・Redbutt,Insectoid,5,4,2,50,12,7,13,4
4.data,14,グランクワガーモン,grankuwagamon,Grankuwagamon,GranKuwagamon,・Dimension Scissor,Insectoid,5,4,1,50,16,6,30,4
4.data,15,インペリアルドラモン：ドラゴンモード,imperialdramondragonmode,Imperialdramon:Dragonmode,Imperialdramon: Dragon Mode,・Mega Death,Ancient Dragon,5,4,3,45,16,6,129,129
4.data,16,インペリアルドラモン：パラディンモード,imperialdramonpaladinmode,Imperialdramon:Paladinmode,Imperialdramon: Paladin Mode,・Omni Blade,Ancient Holy Knight,5,3,0,60,12,9,138,138
5.data,0,ボムモン,bommon,Bommon,Bommon,・Crack-Crack-Crackle,Slime,0,0,2,65535,65535,65535,65535,65535
5.data,1,ミサイモン,missimon,Missimon,Missimon,・Missile Crash,Machine,1,0,2,65535,65535,65535,65535,65535
5.data,2,ハグルモン,hagurumon,Hagurumon,Hagurumon,・Cog Crusher,Machine,2,1,2,10,3,2,123,123
5.data,3,マッハモン,machmon,Machmon,Machmon,・Full Throttle Edge・Madness Fire,Android,3,3,1,25,5,3,23,8
5.data,4,バリスタモン,baristamon,Baristamon,Ballistamon,・Horn Breaker・Heavy Speaker,Machine,3,3,2,20,4,3,31,4
5.data,5,メイルバードラモン,mailbirdramon,Mailbirdramon,MailBirdramon,・Plasma Cannon・Nighthawk・Trident Tail,Machine,3,2,3,20,5,2,13,13
5.data,6,レアモン,raremon,Raremon,Raremon,・Sludge,Undead,3,1,4,15,4,2,120,120
5.data,7,ローダーレオモン,loaderleomon,Loaderliomon,LoaderLeomon,・Bowling Storm・Loader Morning Star,Machine,4,3,1,35,14,3,24,4
5.data,8,アトラーバリスタモン,atlurballistamon,Atlurballistamon,AtlurBallistamon,・Plasma Crack,Machine,5,3,2,30,10,4,6,13
5.data,9,メタルマメモン,metalmamemon,Metalmamemon,MetalMamemon,・Energy Bomb,Android,4,2,1,35,8,5,95,95
5.data,10,ロコモン,locomon,Locomon,Locomon,・Steam Bomb・Wheel Grinder,Machine,4,2,2,30,14,4,32,4
5.data,11,リベリモン,rebellimon,Rebellimon,Rebellimon,・Vanquish Missile・Maximum Demolisher,Android,4,1,0,30,8,5,23,9
5.data,12,メタルグレイモン（2010アニメ版）,metalgreymon,Metalgreymon,MetalGreymon (2010 Anime Version),・Trident Arm・Giga Destroyer,Android,5,1,0,35,9,4,12,18
5.data,13,ヘヴィーレオモン,heavyleomon,Heavyleomon,HeavyLeomon,・Barrage Sweeper・Resting Burner・Sonic Excavator,Machine,5,3,1,50,16,7,23,0
5.data,14,グランドロコモン,grandlocomon,Grandlocomon,GroundLocomon,・Destruction Crush,Machine,5,2,2,45,18,6,10,4
5.data,15,ジークグレイモン,zekegreymon,Zekegreymon,ZeigGreymon,・Trident Fang・Destruction Smasher・Zeig Flame・Plasma Railgun・Final Strikes,Android,4,1,0,55,14,8,4,17
5.data,16,ムゲンドラモン,mugendramon,Mugendramon,Machinedramon,・Infinity Cannon,Machine,5,1,2,55,18,8,85,85
6.data,0,モクモン,mokumon,Mokumon,Mokumon,・Smoke,Smoke,0,0,2,65535,65535,65535,65535,65535
6.data,1,プチメラモン,petimeramon,Petimeramon,DemiMeramon,・Small Flame Shot,Fire,1,0,2,65535,65535,65535,65535,65535
6.data,2,フレイモン,flamon,Flamon,Flamemon,・Baby Salamander,Wizard,8,6,1,10,3,2,0,0
6.data,3,ゴツモン,gottsumon,Gottsumon,Gotsumon,・Rock Fist,Ore,2,2,3,10,3,2,88,88
